Départment,Produit,Catégorie,Prix,Quantité,Date d'achat,Localisation,Fournisseur,Unité
Administration,Staplers,Office Supplies,7.49,25,2024-12-02,New York Office,OfficeTools LLC,Piece
Administration,Staples,Office Supplies,3.99,200,2024-12-02,New York Office,OfficeSuppliesCo,Box
Administration,Paper Clips,Office Supplies,1.99,300,2024-12-03,New York Office,OfficeMart,Box
Administration,Post-It Notes (Yellow),Office Supplies,10.99,150,2024-12-04,New York Office,PaperProductsCo,Pack
Administration,Post-It Notes (Assorted),Office Supplies,12.49,100,2024-12-04,New York Office,PaperProductsCo,Pack
Administration,Envelopes (Letter Size),Office Supplies,9.99,500,2024-12-05,New York Office,PaperSupply Inc.,Pack
Administration,File Folders (Manila),Office Supplies,6.5,100,2024-12-06,New York Office,FileCo,Box
Administration,File Folders (Colored),Office Supplies,8.0,75,2024-12-06,New York Office,FileCo,Box
Administration,Binders (3-ring),Office Supplies,3.99,20,2024-12-08,New York Office,OfficeTools LLC,Piece
Administration,Binder Clips,Office Supplies,2.99,200,2024-12-09,New York Office,OfficeTools LLC,Box
Administration,Rubber Bands,Office Supplies,1.79,500,2024-12-09,New York Office,OfficeMart,Box
Administration,Scissors (Office),Office Supplies,6.0,15,2024-12-10,New York Office,OfficeMart,Piece
Administration,Whiteboard Markers,Office Supplies,12.0,30,2024-12-11,New York Office,WriteRight Co.,Pack
Administration,Highlighter Pens (Yellow),Office Supplies,4.5,50,2024-12-12,New York Office,OfficeTools LLC,Pack
Administration,Ballpoint Pens (Black),Office Supplies,15.0,300,2024-12-12,New York Office,OfficeSupply Inc.,Box
Administration,Ballpoint Pens (Blue),Office Supplies,15.0,300,2024-12-13,New York Office,OfficeSupply Inc.,Box
Administration,Office Desks (Wooden),Office Furniture,199.99,15,2024-11-10,New York Office,OfficeFurnitureCo,Piece
Administration,Adjustable Office Chairs,Office Furniture,99.99,25,2024-11-12,New York Office,ChairMasters Inc.,Piece
Administration,Ergonomic Office Chairs,Office Furniture,149.99,20,2024-11-15,New York Office,ChairMasters Inc.,Piece
Administration,Filing Cabinets (2-drawer),Office Furniture,99.99,10,2024-11-16,New York Office,FilingSolutions,Piece
Administration,Filing Cabinets (4-drawer),Office Furniture,149.99,5,2024-11-17,Admin Dept,FilingSolutions,Piece
