Product Name,Category,Department,Quantity,Date of Purchase,Price,Supplier,Unit,Location
Portable Speakers,Electronics,Marketing,10,2024-12-29,$89.99,SoundWorks,Piece,Marketing Dept
Smart Whiteboards,Electronics,Marketing,6,2024-12-31,$999.99,TechBoards,Piece,Marketing Dept
Branded T-Shirts,Apparel,Marketing,200,2024-12-01,$8.99,PromoApparel Co.,Piece,Marketing Dept
Branded Pens,Office Supplies,Marketing,500,2024-12-02,$0.99,PromoTools,Piece,Marketing Dept
Custom Stickers,Office Supplies,Marketing,1000,2024-12-03,$0.25,StickerWorks,Sheet,Marketing Dept
Trade Show Banners,Marketing Materials,Marketing,5,2024-12-04,$150.00,PrintTech,Piece,Marketing Dept
Posters (Promotional),Marketing Materials,Marketing,200,2024-12-05,$2.99,PrintWorks,Piece,Marketing Dept
Branded Mugs,Office Supplies,Marketing,100,2024-12-06,$9.99,MugWorks,Piece,Marketing Dept
Event Badges,Office Supplies,Marketing,500,2024-12-07,$1.50,EventPrint Co.,Piece,Marketing Dept
Pop-up Displays,Marketing Materials,Marketing,10,2024-12-08,$250.00,DisplayTech,Piece,Marketing Dept
Tablecloths (Branded),Marketing Materials,Marketing,10,2024-12-09,$49.99,PromoPrint,Piece,Marketing Dept
Branded Tote Bags,Apparel,Marketing,300,2024-12-10,$5.99,PromoApparel Co.,Piece,Marketing Dept
Branded Water Bottles,Office Supplies,Marketing,150,2024-12-11,$6.99,BottleWorks,Piece,Marketing Dept
Promotional Flyers,Marketing Materials,Marketing,2000,2024-12-12,$0.10,PromoPrint,Piece,Marketing Dept
Custom Calendars,Office Supplies,Marketing,100,2024-12-13,$12.99,CalendarWorks,Piece,Marketing Dept
Magnetic Whiteboards,Office Furniture,Marketing,5,2024-12-14,$99.99,WriteRight Co.,Piece,Marketing Dept
Desk Clocks (Branded),Office Furniture,Marketing,20,2024-12-15,$24.99,TimeWorks,Piece,Marketing Dept
Customized USB Drives,Electronics,Marketing,100,2024-12-16,$9.99,FlashTech Inc.,Piece,Marketing Dept
Custom Notebooks,Office Supplies,Marketing,150,2024-12-17,$7.99,CustomNotebooks Co.,Piece,Marketing Dept
Event Stage Banners,Marketing Materials,Marketing,5,2024-12-18,$400.00,PrintTech,Piece,Marketing Dept
Custom Mousepads,Office Supplies,Marketing,200,2024-12-19,$4.99,PromoTech,Piece,Marketing Dept
Branded Jackets,Apparel,Marketing,50,2024-12-20,$39.99,PromoApparel Co.,Piece,Marketing Dept
Laptop Sleeves (Branded),Electronics,Marketing,50,2024-12-21,$12.99,TechSupply Inc.,Piece,Marketing Dept
Pop-up Tents,Marketing Materials,Marketing,5,2024-12-22,$299.99,TentWorks,Piece,Marketing Dept
Branded Flashlights,Electronics,Marketing,100,2024-12-23,$7.99,PromoTech,Piece,Marketing Dept
Promotional Keychains,Office Supplies,Marketing,500,2024-12-24,$1.50,PromoTools,Piece,Marketing Dept
Branded Caps,Apparel,Marketing,200,2024-12-25,$6.99,PromoApparel Co.,Piece,Marketing Dept
Custom Phone Cases,Electronics,Marketing,100,2024-12-26,$10.99,TechCustom Co.,Piece,Marketing Dept
Tote Bags (Eco-friendly),Apparel,Marketing,200,2024-12-27,$3.99,PromoApparel Co.,Piece,Marketing Dept
Personalized Wrapping Paper,Office Supplies,Marketing,100,2024-12-28,$12.99,WrapIt Co.,Roll,Marketing Dept
Branded Balloons,Marketing Materials,Marketing,1000,2024-12-29,$0.50,EventPrint Co.,Piece,Marketing Dept
Custom Lanyards,Office Supplies,Marketing,500,2024-12-30,$2.99,EventPrint Co.,Piece,Marketing Dept
