Product Name,Category,Department,Quantity,Date of Purchase,Price,Supplier,Unit,Location
Time Clocks,Office Equipment,Human Resources,6,2024-12-19,$159.99,ClockWorks,Piece,HR Dept
Employee Badges,Office Supplies,Human Resources,200,2024-11-30,$1.99,BadgeCo,Pack,HR Dept
Desk Nameplates,Office Furniture,Human Resources,15,2024-11-20,$19.99,OfficeNameplates Inc.,Piece,HR Dept
Office Chairs (Ergonomic),Office Furniture,Human Resources,30,2024-11-21,$129.99,ChairMasters Inc.,Piece,HR Dept
Personalized Notebooks,Office Supplies,Human Resources,50,2024-11-22,$8.99,CustomNotebooks Co.,Piece,HR Dept
Ergonomic Footrests,Office Furniture,Human Resources,20,2024-11-23,$39.99,OfficeTools Co.,Piece,HR Dept
Bulletin Boards,Office Furniture,Human Resources,5,2024-12-02,$59.99,OfficeFurnitureCo,Piece,HR Dept
Employee Wellness Kits,Office Supplies,Human Resources,50,2024-12-01,$29.99,WellnessKit Co.,Set,HR Dept
First Aid Kits,Office Supplies,Human Resources,10,2024-12-05,$19.99,HealthCare Supply Co.,Set,HR Dept
Confidential Waste Bins,Office Equipment,Human Resources,15,2024-12-06,$12.99,SecureBin Co.,Piece,HR Dept
Telemedicine Kits,Office Supplies,Human Resources,5,2024-12-10,$99.99,HealthTech Solutions,Set,HR Dept
Employee Survey Forms,Office Supplies,Human Resources,500,2024-12-12,$14.99,SurveyWorks,Pack,HR Dept
HR Policy Handbooks,Office Supplies,Human Resources,100,2024-12-13,$4.99,Handbook Co.,Piece,HR Dept
Privacy Screens for Desks,Office Furniture,Human Resources,10,2024-12-14,$39.99,OfficePartitions Inc.,Piece,HR Dept
Standing Desk Converters,Office Furniture,Human Resources,10,2024-12-13,$179.99,DeskPro Inc.,Piece,HR Dept
Employee Parking Permits,Office Supplies,Human Resources,100,2024-12-15,$2.99,PermitWorks,Pack,HR Dept
Workplace Safety Posters,Office Supplies,Human Resources,20,2024-12-16,$12.99,SafetySigns Co.,Piece,HR Dept
Workplace Stress Relief Balls,Office Supplies,Human Resources,100,2024-12-17,$4.99,StressFree Co.,Piece,HR Dept
Employee Recognition Plaques,Office Supplies,Human Resources,30,2024-12-18,$24.99,EngravingWorks,Piece,HR Dept
Company Event Flyers,Office Supplies,Human Resources,500,2024-12-19,$19.99,PromoPrints,Pack,HR Dept
Employee Handbook Holders,Office Furniture,Human Resources,10,2024-12-20,$14.99,StorageWorks,Piece,HR Dept
Noise-Canceling Headphones,Electronics,Human Resources,10,2024-12-21,$79.99,AudioTech Co.,Piece,HR Dept
Personalized Coffee Mugs,Office Supplies,Human Resources,50,2024-12-22,$9.99,MugWorks,Piece,HR Dept
